id,a1,a10,a11,a12,a13,a14,a15,a16,a17,a18,a19,a2,a20,a21,a22,a23,a24,a25,a26,a27,a28,a29,a3,a30,a31,a32,a33,a34,a35,a36,a37,a38,a39,a4,a40,a41,a42,a43,a44,a45,a46,a47,a48,a49,a5,a50,a6,a7,a8,a9
zTdwSMadciZgdTbv,936114.0,0.00276,0.4474499999999999,55.3105,,7.884863999999999,,3.0072,936114.0,9.2736e-05,,55.3105,,0.00399424,1.966,,-1.404,,2.445,,56.7145,0.336,7.884863999999999,0.03995,-2.443344,,,0.12395,0.664225,-56.7145,3.48864e-05,,12237.005641,,-5.279999999999999,0.0980368098159509,1.7412409172387123e-06,,0.028224,6.9912472,4.990010938248615e-06,,,1.63,,0.0667999999999999,,,0.0316,0.504
A5zZhOuiYAhAqdod,766302.0,0.0,0.5205,,30.954000000000008,29.073664,207474.688,2.6052,766302.0,0.0,-176.59199999999998,,33.67685000000001,0.00288369,1.664,0.0,-2.696,4529.290000000002,2.115,0.0009070945945945,,0.254,29.073664,0.168,-2.115,-362.8816000000001,3.17904,0.2315,0.4970249999999999,,0.0,134.60000000000002,,177.6,-10.53,0.4765957446808511,1.8400056374640809e-06,19.8912,0.016129,,,-319.2063999999999,200.89200000000005,1.41,-266.38000000000005,1.1292,21.21700000017881,59.8514031064213,0.02685,0.381
Quz7Pz8T11mwqw0G,522994.0,4.39,0.1689999999999999,33.054,-6.3870000000000005,2086.114276,2803.220999999998,0.6739999999999999,522994.0,0.861318,-41.916,33.054,16.47075,0.00172225,2.382,12.379799999999998,-22.837,1082.41,0.63,0.0029432624113475,55.891000000000005,1.962,2086.114276,0.064,2.004,-1502.6745999999998,0.58515,0.5545,0.0440999999999999,-55.891000000000005,0.036437,65.8,4370.267664000001,42.3,-89.386,0.6095238095238096,8.030684864453512e-07,1.8048,0.962361,2.743482,0.013281297271132,-644.0033999999999,98.316,0.42,-130.76,0.346,11.288999999997031,-30.34859689357869,0.02075,2.943
hpdWmiZTCx62TwC9,584010.0,4.635,0.134,55.9935,13.386000000000005,1650.634384,88.121125,0.4476,584010.0,0.560835,-13.014,55.9935,33.72205,0.00194481,1.522,4.1251500000000005,-20.314,4542.760000000001,0.4679999999999999,0.0099101123595505,76.3075,1.21,1650.634384,0.056,2.313,-2738.3272,0.196245,0.3585,0.024336,-76.3075,0.0408807,134.8,12541.088169,13.35,-80.046,0.717948717948718,5.34237427441311e-07,0.4984,0.366025,4.9386267,0.0082777465241501,-180.7946,201.86400000000003,0.312,-268.976,0.2716,82.0240000000922,-49.64859689357869,0.02205,1.815
RtDrJucioe4bpBoC,802770.0,9e-06,0.3375,,27.779000000000003,66.29216399999999,265847.70699999994,1.9244,802770.0,2.34e-07,-192.474,,31.875950000000003,0.00269361,1.326,0.0001157399999999,-4.071,4057.690000000001,1.5990000000000002,0.0008071539657853,,0.26,66.29216399999999,0.071,-1.5989946,-518.6454,3.33717,0.136,0.284089,,9.342e-08,127.4,,192.9,-16.023999999999997,0.2664165103189493,1.327902138844252e-06,9.1306,0.0169,,,-523.5305999999999,190.674,1.066,-252.668,0.3603999999999999,74.8530000000319,70.0514031064213,0.02595,0.39
ihNAuum06Fvbru6A,664702.0,0.0,0.427,54.9715,27.969,248.440644,159220.08800000002,1.804,664702.0,0.0,-161.82000000000002,54.9715,35.9215,0.0204489999999999,1.824,0.0,-7.881,5140.89,1.782,0.0026383763837638,62.8525,0.636,248.440644,0.13,-1.782,-1130.1354,7.750599999999999,0.289,0.352836,-62.8525,0.0,143.4,12087.463249,162.60000000000002,-30.888,0.4377104377104377,1.7872670760731877e-06,14.092,0.101124,15.721849,0.0,-854.3004000000001,214.32,1.188,-284.42400000000004,0.4680000000000001,1.8130000000237487,49.85140310642132,0.0715,0.954
8oZnSDKP8BzD8YkB,998410.0,0.000855,0.511,57.0225,25.349,92.198404,695506.4559999999,2.722,998410.0,7.1478e-06,-264.915,57.0225,30.17325,0.00216225,1.5376,0.0151506,-4.801,3636.09,2.181,0.0005248306997742,61.8235,0.0836,92.198404,0.1475,-2.180487,-579.0006,4.1199,0.1684,0.5285289999999999,-61.8235,7.9515e-06,120.6,13006.262025,265.79999999999995,-19.1204,0.405777166437414,1.456315541711321e-06,26.137,0.0017472399999999,5.3030925,1.4994081283703802e-06,-850.7372,180.015,1.454,-238.292,0.994,56.2269999999553,118.6514031064213,0.02325,0.1253999999999999
MwZEHYyaw03L/vP4,731438.0,0.725,0.479,62.9895,36.038,17.007376000000004,716917.375,2.7252,731438.0,0.0008960999999999,-267.891,62.9895,38.13685,0.00543169,1.52236,12.9775,-2.0620000000000003,5806.4400000000005,2.265,0.0008234636871508,65.0515,0.01236,17.007376000000004,0.1015,-1.83,-314.2488000000001,6.59615,0.10459,0.570025,-65.0515,0.0106865,152.4,15870.708441,268.5,-8.235640000000002,0.2688741721854304,2.064426513251977e-06,18.1685,3.81924e-05,9.2846523,0.0011509854817072,-369.09800000000007,227.991,1.51,-301.78000000000003,0.5172000000000001,50.728000000061,120.45140310642132,0.03685,0.01854
EyG0IXFBbj3LfJOU,534730.0,0.00124,0.283,55.815,14.909,474.455524,15252.992000000002,1.4568,534730.0,0.000199392,-73.911,55.815,25.8194,0.00150544,2.414,0.0061504,-10.891,2662.56,1.209,0.0015645161290322,66.706,1.608,474.455524,0.0815,-1.208256,-1123.9512,0.96224,0.4835,0.162409,-66.706,9.6224e-06,103.2,12461.256899999998,74.4,-41.956,0.4044665012406948,1.5073027509210257e-06,4.042400000000001,0.6464160000000001,4.331244,2.221625011197707e-06,-540.1936000000001,154.311,0.806,-204.788,0.4968,88.09600000001956,-8.948596893578689,0.0194,2.412
1CIbRkPWJSlMIDEO,942194.0,0.309,0.4905,48.278,21.353,21.104835999999995,724150.7919999999,3.0076,942194.0,0.000483894,-268.881,48.278,23.67805,0.0031472099999999,1.63166,5.54964,-2.297,2237.2899999999995,2.4240000000000004,0.0006247216035634,50.575,0.01566,21.104835999999995,0.0865,-2.2386000000000004,-217.2962,5.03778,0.090415,0.6528640000000001,-50.575,0.0034669799999999,94.6,9323.061136,269.4,-9.172339999999998,0.214108910891089,1.7151457130909347e-06,15.5354,6.13089e-05,5.4167916,0.0006400430838062,-412.5412,141.38099999999997,1.616,-185.968,0.4675999999999999,23.816999999980908,121.0514031064213,0.02805,0.02349
